scope,fold,threshold,topk,detections_kept,true_positive_detections,false_positives,total_scans,false_positives_per_scan,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage
pooled,,0.15,7,6216,958,5258,888,5.921171171171171,958,1186,0.8077571669477235,568,601,0.9450915141430949
pooled,,0.15,8,7104,979,6125,888,6.8975225225225225,979,1186,0.8254637436762225,568,601,0.9450915141430949
pooled,,0.15,9,7992,991,7001,888,7.884009009009009,991,1186,0.8355817875210793,570,601,0.9484193011647255
pooled,,0.15,10,8880,1005,7875,888,8.868243243243244,1005,1186,0.8473861720067454,571,601,0.9500831946755408
pooled,,0.2,1,888,463,425,888,0.4786036036036036,463,1186,0.39038785834738615,463,601,0.7703826955074875
pooled,,0.2,2,1776,662,1114,888,1.2545045045045045,662,1186,0.5581787521079258,514,601,0.8552412645590682
pooled,,0.2,3,2664,773,1891,888,2.1295045045045047,773,1186,0.6517706576728499,537,601,0.8935108153078203
pooled,,0.2,4,3552,850,2702,888,3.0427927927927927,850,1186,0.7166947723440135,555,601,0.9234608985024958
pooled,,0.2,5,4440,903,3537,888,3.983108108108108,903,1186,0.7613827993254637,559,601,0.930116472545757
pooled,,0.2,6,5328,933,4395,888,4.949324324324325,933,1186,0.7866779089376054,563,601,0.9367720465890182
pooled,,0.2,7,6216,958,5258,888,5.921171171171171,958,1186,0.8077571669477235,568,601,0.9450915141430949
pooled,,0.2,8,7104,979,6125,888,6.8975225225225225,979,1186,0.8254637436762225,568,601,0.9450915141430949
pooled,,0.2,9,7992,991,7001,888,7.884009009009009,991,1186,0.8355817875210793,570,601,0.9484193011647255
pooled,,0.2,10,8880,1005,7875,888,8.868243243243244,1005,1186,0.8473861720067454,571,601,0.9500831946755408
pooled,,0.25,1,888,463,425,888,0.4786036036036036,463,1186,0.39038785834738615,463,601,0.7703826955074875
pooled,,0.25,2,1776,662,1114,888,1.2545045045045045,662,1186,0.5581787521079258,514,601,0.8552412645590682
pooled,,0.25,3,2664,773,1891,888,2.1295045045045047,773,1186,0.6517706576728499,537,601,0.8935108153078203
pooled,,0.25,4,3552,850,2702,888,3.0427927927927927,850,1186,0.7166947723440135,555,601,0.9234608985024958
pooled,,0.25,5,4440,903,3537,888,3.983108108108108,903,1186,0.7613827993254637,559,601,0.930116472545757
